tindex	j	i	t	ostat	tstat	surv	diam	dnow	dlast	cones	trt	x	y	ice	nfert	height
359	4	58	1	2	0	1	14.60817947	0.282675566	0.282675566	0	1	2.38	-11.96	0	0	NA
359	4	58	2	2	0	1	14.89085504	0.281996009	0.282675566	0	1	2.38	-11.96	0	0	NA
359	4	58	3	2	0	1	15.17285105	0.305921222	0.281996009	0	1	2.38	-11.96	0	0	NA
359	4	58	4	3	1	1	15.47877227	0.264694368	0.305921222	2	1	2.38	-11.96	0	0	NA
359	4	58	5	1	1	1	15.74346664	0.36709656	0.264694368	0	1	2.38	-11.96	0	0	NA
359	4	58	6	1	1	1	16.1105632	0.288511512	0.36709656	0	1	2.38	-11.96	0	0	NA
359	4	58	7	1	1	1	16.39907471	0.318068271	0.288511512	0	1	2.38	-11.96	0	0	NA
359	4	58	8	1	1	1	16.71714298	0.40587781	0.318068271	0	1	2.38	-11.96	0	0	NA
359	4	58	9	1	1	1	17.12302079	0.407745887	0.40587781	0	1	2.38	-11.96	0	0	NA
359	4	58	10	1	1	1	17.53076667	0.306647191	0.407745887	0	1	2.38	-11.96	0	0	NA
359	4	58	11	1	1	1	17.83741386	0.199234809	0.306647191	0	1	2.38	-11.96	0	0	NA
360	4	59	1	2	0	1	19.32135239	0.43431495	0.43431495	0	1	3.91	-14.35	0	0	NA
360	4	59	2	3	1	1	19.75566734	0.407925003	0.43431495	1	1	3.91	-14.35	0	0	NA
360	4	59	3	1	1	1	20.16359234	0.519111578	0.407925003	0	1	3.91	-14.35	0	0	NA
360	4	59	4	1	1	1	20.68270392	0.358010368	0.519111578	0	1	3.91	-14.35	0	0	NA
360	4	59	5	1	1	1	21.04071429	0.369151198	0.358010368	0	1	3.91	-14.35	0	0	NA
360	4	59	6	1	1	1	21.40986549	0.630774195	0.369151198	NA	1	3.91	-14.35	0	0	NA
360	4	59	7	1	1	1	22.04063968	0.404727759	0.630774195	0	1	3.91	-14.35	0	0	NA
360	4	59	8	1	1	1	22.44536744	0.419838566	0.404727759	0	1	3.91	-14.35	0	0	NA
360	4	59	9	3	1	1	22.86520601	0.462482786	0.419838566	6	1	3.91	-14.35	0	0	NA
360	4	59	10	1	1	1	23.32768879	0.422043567	0.462482786	0	1	3.91	-14.35	0	0	NA
360	4	59	11	1	1	1	23.74973236	0.377628426	0.422043567	0	1	3.91	-14.35	0	0	NA
361	4	60	1	2	0	1	17.08055163	0.630999967	0.630999967	0	1	1.87	-14.05	0	0	NA
361	4	60	2	2	0	1	17.7115516	0.577081712	0.630999967	0	1	1.87	-14.05	0	0	NA
361	4	60	3	2	0	1	18.28863331	0.459874001	0.577081712	0	1	1.87	-14.05	0	0	NA
361	4	60	4	2	0	1	18.74850731	0.393496881	0.459874001	0	1	1.87	-14.05	0	0	NA
361	4	60	5	3	1	1	19.14200419	0.302090838	0.393496881	4	1	1.87	-14.05	0	0	NA
361	4	60	6	1	1	1	19.44409503	0.536565075	0.302090838	0	1	1.87	-14.05	0	0	NA
361	4	60	7	1	1	1	19.98066011	0.242416211	0.536565075	0	1	1.87	-14.05	0	0	NA
361	4	60	8	1	1	1	20.22307632	0.484805754	0.242416211	0	1	1.87	-14.05	0	0	NA
361	4	60	9	1	1	1	20.70788207	0.422696115	0.484805754	0	1	1.87	-14.05	0	0	NA
361	4	60	10	3	1	1	21.13057819	0.352141973	0.422696115	1	1	1.87	-14.05	0	0	NA
361	4	60	11	1	1	1	21.48272016	0.342868777	0.352141973	0	1	1.87	-14.05	0	0	NA
362	4	61	1	2	0	1	11.44620597	0.387692326	0.387692326	0	1	0.4	-11.82	0	0	NA
362	4	61	2	2	0	1	11.8338983	0.375241495	0.387692326	0	1	0.4	-11.82	0	0	NA
362	4	61	3	3	1	1	12.20913979	0.352630698	0.375241495	1	1	0.4	-11.82	0	0	NA
362	4	61	4	1	1	1	12.56177049	0.232225711	0.352630698	0	1	0.4	-11.82	0	0	NA
362	4	61	5	1	1	1	12.7939962	0.217954489	0.232225711	0	1	0.4	-11.82	0	0	NA
362	4	61	6	1	1	1	13.01195069	0.25699885	0.217954489	0	1	0.4	-11.82	0	0	NA
362	4	61	7	1	1	1	13.26894954	0.187223966	0.25699885	0	1	0.4	-11.82	0	0	NA
362	4	61	8	1	1	1	13.45617351	0.316599353	0.187223966	0	1	0.4	-11.82	0	0	NA
362	4	61	9	1	1	1	13.77277286	0.507583669	0.316599353	0	1	0.4	-11.82	0	0	NA
362	4	61	10	3	1	1	14.28035653	0.297243402	0.507583669	1	1	0.4	-11.82	0	0	NA
362	4	61	11	3	1	1	14.57759993	0.506957439	0.297243402	7	1	0.4	-11.82	0	0	NA
363	4	62	1	2	0	1	18.70041139	0.588591086	0.588591086	0	1	0.02	-14.01	0	0	NA
363	4	62	2	2	0	1	19.28900248	0.591059539	0.588591086	0	1	0.02	-14.01	0	0	NA
363	4	62	3	3	1	1	19.88006201	0.527733405	0.591059539	1	1	0.02	-14.01	0	0	NA
363	4	62	4	3	1	1	20.40779542	0.683502038	0.527733405	2	1	0.02	-14.01	0	0	NA
363	4	62	5	1	1	1	21.09129746	0.442832118	0.683502038	0	1	0.02	-14.01	0	0	NA
363	4	62	6	1	1	1	21.53412957	0.342007057	0.442832118	0	1	0.02	-14.01	0	0	NA
363	4	62	7	1	1	1	21.87613663	0.688226341	0.342007057	0	1	0.02	-14.01	0	0	NA
363	4	62	8	1	1	1	22.56436297	0.50622518	0.688226341	0	1	0.02	-14.01	0	0	NA
363	4	62	9	1	1	1	23.07058815	0.694448467	0.50622518	0	1	0.02	-14.01	0	0	NA
363	4	62	10	1	1	1	23.76503662	0.54875753	0.694448467	0	1	0.02	-14.01	0	0	NA
363	4	62	11	1	1	1	24.31379415	0.575016414	0.54875753	0	1	0.02	-14.01	0	0	NA
364	4	63	1	2	0	1	17.47146381	0.698888725	0.698888725	0	1	-1.92	-13.67	0	0	NA
364	4	63	2	2	0	1	18.17035254	0.652157349	0.698888725	0	1	-1.92	-13.67	0	0	NA
364	4	63	3	2	0	1	18.82250988	0.435368029	0.652157349	0	1	-1.92	-13.67	0	0	NA
364	4	63	4	2	0	1	19.25787791	0.832245691	0.435368029	0	1	-1.92	-13.67	0	0	NA
364	4	63	5	3	1	1	20.0901236	0.561348459	0.832245691	2	1	-1.92	-13.67	0	0	NA
364	4	63	6	1	1	1	20.65147206	0.751387743	0.561348459	0	1	-1.92	-13.67	0	0	NA
364	4	63	7	1	1	1	21.40285981	0.570541712	0.751387743	0	1	-1.92	-13.67	0	0	NA
364	4	63	8	1	1	1	21.97340152	0.389176766	0.570541712	0	1	-1.92	-13.67	0	0	NA
364	4	63	9	1	1	1	22.36257828	0.542041325	0.389176766	0	1	-1.92	-13.67	0	0	NA
364	4	63	10	1	1	1	22.90461961	0.441892004	0.542041325	0	1	-1.92	-13.67	0	0	NA
364	4	63	11	1	1	1	23.34651161	0.411891673	0.441892004	0	1	-1.92	-13.67	0	0	NA
365	4	64	1	2	0	1	15.51630459	0.435174416	0.435174416	0	1	-4.04	-13.45	0	0	NA
365	4	64	2	2	0	1	15.95147901	0.45043447	0.435174416	0	1	-4.04	-13.45	0	0	NA
365	4	64	3	2	0	1	16.40191348	0.246411768	0.45043447	0	1	-4.04	-13.45	0	0	NA
365	4	64	4	2	0	1	16.64832525	0.302108551	0.246411768	0	1	-4.04	-13.45	0	0	NA
365	4	64	5	2	0	1	16.9504338	0.350628603	0.302108551	0	1	-4.04	-13.45	0	0	NA
365	4	64	6	2	0	1	17.3010624	0.340534951	0.350628603	0	1	-4.04	-13.45	0	0	NA
365	4	64	7	2	0	1	17.64159735	0.292450851	0.340534951	0	1	-4.04	-13.45	0	0	NA
365	4	64	8	2	0	1	17.9340482	0.21158244	0.292450851	0	1	-4.04	-13.45	0	0	NA
365	4	64	9	2	0	1	18.14563064	0.245598899	0.21158244	0	1	-4.04	-13.45	0	0	NA
365	4	64	10	2	0	1	18.39122954	0.206124943	0.245598899	0	1	-4.04	-13.45	0	0	NA
365	4	64	11	2	0	1	18.59735448	0.328040605	0.206124943	0	1	-4.04	-13.45	0	0	NA
366	4	65	1	2	0	1	10.13963682	0.324124185	0.324124185	0	1	-1.48	-11.57	0	0	NA
366	4	65	2	2	0	1	10.463761	0.272914308	0.324124185	0	1	-1.48	-11.57	0	0	NA
366	4	65	3	2	0	1	10.73667531	0.19323335	0.272914308	0	1	-1.48	-11.57	0	0	NA
366	4	65	4	3	1	1	10.92990866	0.270304267	0.19323335	3	1	-1.48	-11.57	0	0	NA
366	4	65	5	3	1	1	11.20021293	0.230748009	0.270304267	3	1	-1.48	-11.57	0	0	NA
